Year,North East,North West,Yorkshire,East Midlands,West Midlands,East of England,London,South East,South West,Northern Ireland,Scotland,Wales
,,2003,91.2,South West,,,,,,,,
,,2004,90.8,South West,,,,,,,,
,,2005,90.2,South West,,,,,,,,
,,2006,89.8,South West,,,,,,,,
,,2007,88.5,South West,,,,,,,,
,,2008,89.7,South West,,,,,,,,
,,2009,88.7,South West,,,,,,,,
,,2010,88.7,South West,,,,,,,,
,,2011,87.7,South West,,,,,,,,
,,2012,88.9,South West,,,,,,,,
,,2013,87.5,South West,,,,,,,,
,,2014,87.6,South West,,,,,,,,
,,2015,87.1,South West,,,,,,,,
,,2016,87.6,South West,,,,,,,,
,,2017,88.3,South West,,,,,,,,
,,2018,87.1,South West,,,,,,,,
,,2019,87.4,South West,,,,,,,,
,,2020,87.4,South West,,,,,,,,
,,2021,90.7,South West,,,,,,,,
,,2022,90.4,South West,,,,,,,,
,,1998,88.4,North West,,,,,,,,
,,1999,88.3,North West,,,,,,,,
,,2000,87.5,North West,,,,,,,,
,,2001,90.1,North West,,,,,,,,
,,2002,89.5,North West,,,,,,,,
,,2003,87.7,North West,,,,,,,,
,,2004,89.2,North West,,,,,,,,
,,2005,89.6,North West,,,,,,,,
,,2006,87.9,North West,,,,,,,,
,,2007,86.7,North West,,,,,,,,
,,2008,85.8,North West,,,,,,,,
,,2009,86.3,North West,,,,,,,,
,,2010,86.4,North West,,,,,,,,
,,2011,88.5,North West,,,,,,,,
,,2012,89.3,North West,,,,,,,,
,,2013,87.4,North West,,,,,,,,
,,2014,87,North West,,,,,,,,
,,2015,87.3,North West,,,,,,,,
,,2016,88,North West,,,,,,,,
,,2017,86.3,North West,,,,,,,,
,,2018,84.4,North West,,,,,,,,
,,2019,86.8,North West,,,,,,,,
,,2020,85.7,North West,,,,,,,,
,,2021,83.7,North West,,,,,,,,
,,2022,87.4,North West,,,,,,,,
